text,popularity,meaning1,meaning2
in der,132471275,"[with dative] in, inside, within, at (inside a building)","nominative masculine singular definite article, the"
in den,67429285,"[with dative] in, inside, within, at (inside a building)",inflection of der (“the”):
für die,53950995,describes an abstract directionality towards a person or matter,nominative/accusative singular feminine of der
auf die,52295018,"[with dative] on, upon (positioned at the top of)",nominative/accusative singular feminine of der
und die,52194818,and,nominative/accusative singular feminine of der
in die,46457383,"[with dative] in, inside, within, at (inside a building)",nominative/accusative singular feminine of der
mit dem,43626139,"with (in the company of, alongside)",dative masculine/neuter singular of der: the
mit der,37407649,"with (in the company of, alongside)","nominative masculine singular definite article, the"
von der,34752151,from,"nominative masculine singular definite article, the"
auf den,34231704,"[with dative] on, upon (positioned at the top of)",inflection of der (“the”):
und der,32639436,and,"nominative masculine singular definite article, the"
auf dem,29870323,"[with dative] on, upon (positioned at the top of)",dative masculine/neuter singular of der: the
durch die,29573887,by means of; by; through,nominative/accusative singular feminine of der
aus dem,29439933,out,dative masculine/neuter singular of der: the
auf der,29196831,"[with dative] on, upon (positioned at the top of)","nominative masculine singular definite article, the"
über die,28903026,"[with accusative or dative] above, over (spatially)",nominative/accusative singular feminine of der
sie sich,28380396,she; her,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
bei der,26935276,"by, near","nominative masculine singular definite article, the"
an der,25779344,"on, upon, at, in, against","nominative masculine singular definite article, the"
nicht mehr,25433909,"not, non- (negates the meaning of a verb, adjective, or adverb)",something more
mit einem,23781424,"with (in the company of, alongside)",dative masculine/neuter singular of ein
mit den,23687423,"with (in the company of, alongside)",inflection of der (“the”):
aus der,23154808,out,"nominative masculine singular definite article, the"
es ist,22359323,"Refers to a neuter noun (person, animal, thing or abstract)",third-person singular present of sein
er sich,22291943,he,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)"
in einem,21651915,"[with dative] in, inside, within, at (inside a building)",dative masculine/neuter singular of ein
sich die,21547356,"Reflexive pronoun of the third person singular or plural: herself, himself, itself, oneself, themselves (in both dative and accusative)",nominative/accusative singular feminine of der
und das,20660648,and,nominative/accusative neuter singular of der: the
dass die,20513341,that,nominative/accusative singular feminine of der
für den,20266249,describes an abstract directionality towards a person or matter,inflection of der (“the”):
auch die,19358763,"also, too, as well (in addition to whatever or whoever has previously been listed)",nominative/accusative singular feminine of der
ich habe,19306736,I (first person singular nominative (subject) pronoun),inflection of haben:
dass sie,19277678,that,she; her
in dem,19272718,"[with dative] in, inside, within, at (inside a building)",dative masculine/neuter singular of der: the
das ist,18902120,nominative/accusative neuter singular of der: the,third-person singular present of sein
an den,18867003,"on, upon, at, in, against",inflection of der (“the”):
