text,popularity,meaning1,meaning2
of the,1746034516,,
in the,1126073086,"currently fashionable; ""the in thing to do""; ""large shoulder pads are in""",
to the,691479125,,
on the,478338333,"in operation or operational; ""left the oven on""; ""the switch is in the on position""",
and the,458356999,,
to be,339823365,,a light strong brittle grey toxic bivalent metallic element
for the,331497583,,
at the,297072876,100 at equal 1 kip in Laos,
from the,292096750,,
with the,280004707,,
of a,272341796,,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
in a,262673315,"currently fashionable; ""the in thing to do""; ""large shoulder pads are in""","the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
it is,260532198,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,
by the,245114457,"in reserve; not for immediate use; ""started setting aside money to buy a car""; ""put something by for her old age""; ""has a nest egg tucked away for a rainy day""",
it was,242819588,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,
that the,239267624,,
as a,210009592,a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
do not,208238506,doctor's degree in osteopathy,"negation of a word or group of words; ""he does not speak French""; ""she is not going""; ""they are not friends""; ""not many""; ""not much""; ""not at all"""
did not,189707027,,"negation of a word or group of words; ""he does not speak French""; ""she is not going""; ""they are not friends""; ""not many""; ""not much""; ""not at all"""
is a,173172313,,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
with a,172195772,,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
he was,165151440,a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas),
is the,158684175,,
as the,155900784,a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar,
for a,148472592,,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
can be,137795460,the quantity contained in a can,a light strong brittle grey toxic bivalent metallic element
the same,136452775,,"equal in amount or value; ""like amounts""; ""equivalent amounts""; ""the same amount""; ""gave one six blows and the other a like number""; ""the same number"""
is not,129706294,,"negation of a word or group of words; ""he does not speak French""; ""she is not going""; ""they are not friends""; ""not many""; ""not much""; ""not at all"""
into the,129091280,,
to a,128884425,,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
was a,126807445,,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
it 's,121035592,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information,
one of,118629507,"being a single entity made by combining separate components; ""three chemicals combining into one solution""",
of his,115219256,,
I was,113064749,"used of a single unit or thing; not two or more; ""`ane' is Scottish""",
in this,112094069,"currently fashionable; ""the in thing to do""; ""large shoulder pads are in""",
I 'm,111638971,"used of a single unit or thing; not two or more; ""`ane' is Scottish""",
have been,111420949,a person who possesses great material wealth,
was not,111360466,,"negation of a word or group of words; ""he does not speak French""; ""she is not going""; ""they are not friends""; ""not many""; ""not much""; ""not at all"""
the first,111244722,,"serving to begin; ""the beginning canto of the poem""; ""the first verse"""
had been,108357102,,
out of,107336419,"outer or outlying; ""the out islands""",
and a,106832191,,"the basic unit of electric current adopted under the Systeme International d'Unites; ""a typical household circuit carries 15 to 50 amps"""
and I,105589183,,"used of a single unit or thing; not two or more; ""`ane' is Scottish"""
he had,105506150,a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas),
et al,102681988,,a silvery ductile metallic element found primarily in bauxite
of this,99759563,,
she was,99564665,,
can not,99295923,the quantity contained in a can,"negation of a word or group of words; ""he does not speak French""; ""she is not going""; ""they are not friends""; ""not many""; ""not much""; ""not at all"""
there is,99213056,"a location other than here; that place; ""you can take it from there""",
such as,98653699,"to so extreme a degree; ""he is such a baby""; ""Such rich people!""",a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
this is,97900909,,
would be,93616008,,a light strong brittle grey toxic bivalent metallic element
in his,91205507,"currently fashionable; ""the in thing to do""; ""large shoulder pads are in""",
may be,90202200,thorny Eurasian shrub of small tree having dense clusters of white to scarlet flowers followed by deep red berries; established as an escape in eastern North America,a light strong brittle grey toxic bivalent metallic element
all the,88500336,"completely given to or absorbed by; ""became all attention""",
the other,87727002,,"not the same one or ones already mentioned or implied; ""today isn't any other day""- the White Queen; ""the construction of highways and other public works""; ""he asked for other employment""; ""any other person would tell the truth""; ""his other books are still in storage""; ""then we looked at the other house""; ""hearing was good in his other ear""; ""the other sex""; ""she lived on the other side of the street from me""; ""went in the other direction"""
