text,popularity,meaning1,meaning2
de la,122122977,letter: d,feminine singular definite article; the
en el,61782412,"in, at, on",masculine singular definite article; the
en la,54597619,"in, at, on",feminine singular definite article; the
de los,52695172,letter: d,"masculine plural of ""el"" (the)"
a la,47243022,letter,feminine singular definite article; the
de las,34178770,letter: d,feminine plural definite article; the
que se,33675975,that,"abbreviation of ""sudeste""; southeast"
lo que,32134305,"inflection of ""él"" and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that",that
que no,21804136,that,"abbreviation of ""noroeste""; northwest"
de su,21250362,letter: d,given name
a los,20597494,letter,"masculine plural of ""el"" (the)"
y la,20194009,letter,feminine singular definite article; the
de que,19553482,letter: d,that
de un,18904721,letter: d,an; a
que la,17945771,that,feminine singular definite article; the
con la,17628491,with,feminine singular definite article; the
que el,16987766,that,masculine singular definite article; the
y el,16711991,letter,masculine singular definite article; the
con el,16171336,with,masculine singular definite article; the
de una,15576115,letter: d,"acronym of ""Universidad Nacional de Agricultura"""
por la,15102394,by,feminine singular definite article; the
en los,14951524,"in, at, on","masculine plural of ""el"" (the)"
por el,14722228,by,masculine singular definite article; the
en su,14278437,"in, at, on",given name
a su,14092047,letter,given name
en un,12913605,"in, at, on",an; a
y de,12208532,letter,letter: d
y se,11806615,letter,"abbreviation of ""sudeste""; southeast"
en las,11734946,"in, at, on",feminine plural definite article; the
no se,11547766,"abbreviation of ""noroeste""; northwest","abbreviation of ""sudeste""; southeast"
a las,11019034,letter,feminine plural definite article; the
de sus,9531763,letter: d,"plural of ""su""; one's, his, her, its, their (with plural possessee)"
en una,9462715,"in, at, on","acronym of ""Universidad Nacional de Agricultura"""
que los,9392301,that,"masculine plural of ""el"" (the)"
y que,9065463,letter,that
y los,8673467,letter,"masculine plural of ""el"" (the)"
que le,8572251,that,"to him, for him; inflection of ""él"""
no es,8243540,"abbreviation of ""noroeste""; northwest",
y en,8160777,letter,"in, at, on"
para que,8147081,"for, to (expressing a recipient)",that
a un,8133069,letter,an; a
y no,8105575,letter,"abbreviation of ""noroeste""; northwest"
la que,8012241,feminine singular definite article; the,that
que me,7980082,that,"initialism of ""muerte encefálica"" (“brain death”)"
y a,7905234,letter,letter
todos los,7703349,,"masculine plural of ""el"" (the)"
con un,7430883,with,an; a
con los,7428550,with,"masculine plural of ""el"" (the)"
el que,7236377,masculine singular definite article; the,that
de lo,7172309,letter: d,"inflection of ""él"" and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that"
los que,7003600,"masculine plural of ""el"" (the)",that
es el,6982278,,masculine singular definite article; the
con una,6941941,with,"acronym of ""Universidad Nacional de Agricultura"""
para la,6932673,"for, to (expressing a recipient)",feminine singular definite article; the
que en,6891603,that,"in, at, on"
la vida,6707634,feminine singular definite article; the,life
antes de,6666349,earlier; before; sooner; previously; formerly; beforehand (at an earlier time),letter: d
es la,6651991,,feminine singular definite article; the
en que,6630972,"in, at, on",that
que había,6629752,that,"smart inflection of ""haber"""
después de,6526384,"later, afterwards, afterward, post",letter: d
es un,6440025,,an; a
que lo,6285508,that,"inflection of ""él"" and usted (when referring to a man), and a variant of ello in many constructions; him, you (formal), it, that"
