text,popularity,meaning1,meaning2
di un,16459110,"used to indicate possession, after the thing owned and before the owner; of; ’s","apocopic form of uno: a, an"
che non,13413859,what; which,not
e la,13171239,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",the
per la,12914168,for,the
la sua,12565523,the,feminine singular of suo
che si,11701960,what; which,"oneself, himself, herself, itself, themselves"
il suo,11662711,the,"his, her, its"
di una,11646542,"used to indicate possession, after the thing owned and before the owner; of; ’s",feminine singular of uno
con la,11573024,"with, together",the
non è,10218500,not,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation"
in cui,10206753,in,"prepositional of che: whom, which"
e di,10108333,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","used to indicate possession, after the thing owned and before the owner; of; ’s"
e il,10030429,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",the
che la,9746751,what; which,the
per il,9224429,for,the
in un,9198430,in,"apocopic form of uno: a, an"
che il,8902993,what; which,the
di cui,8300092,"used to indicate possession, after the thing owned and before the owner; of; ’s","prepositional of che: whom, which"
e non,8237225,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",not
con il,8201314,"with, together",the
non si,7904786,not,"oneself, himself, herself, itself, themselves"
e le,7237477,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",the
con un,6780012,"with, together","apocopic form of uno: a, an"
quello che,6236669,"that, those",what; which
e si,6217094,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","oneself, himself, herself, itself, themselves"
ma non,6195281,"but, however",not
in una,6072263,in,feminine singular of uno
e che,5865718,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",what; which
un po,5684826,"apocopic form of uno: a, an",Po (a river in Italy)
da un,5642554,from (all senses),"apocopic form of uno: a, an"
i suoi,5439700,"The ninth letter of the Italian alphabet, called i and written in the Latin script.",masculine plural of suo
e i,5411856,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","The ninth letter of the Italian alphabet, called i and written in the Latin script."
a un,5358832,"The first letter of the Italian alphabet, called a and written in the Latin script.","apocopic form of uno: a, an"
e l',5296131,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","apocopic form of il/lo, la: the"
per l',5250218,for,"apocopic form of il/lo, la: the"
con le,5199569,"with, together",the
si è,5174782,"oneself, himself, herself, itself, themselves","Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation"
ciò che,5134031,this,what; which
è un,5128159,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation","apocopic form of uno: a, an"
è stato,4949561,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation","state (physical property of matter as solid, liquid, gas or plasma)"
se non,4942480,abbreviation of sudest; southeast,not
che è,4774931,what; which,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation"
tutte le,4770699,feminine plural of tutto,the
si era,4761140,"oneself, himself, herself, itself, themselves","age, epoch, period"
che le,4710539,what; which,the
che l',4704168,what; which,"apocopic form of il/lo, la: the"
tutti i,4684065,"all; everybody, everyone","The ninth letter of the Italian alphabet, called i and written in the Latin script."
non era,4634759,not,"age, epoch, period"
il mio,4609723,the,my; of mine (used attributively)
per un,4609537,for,"apocopic form of uno: a, an"
per le,4585015,for,the
gli occhi,4579590,"form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the",plural of occhio
la mia,4533851,the,feminine singular of mio
per i,4418124,for,"The ninth letter of the Italian alphabet, called i and written in the Latin script."
anche se,4401265,"also, too, as well, besides",abbreviation of sudest; southeast
con l',4390699,"with, together","apocopic form of il/lo, la: the"
in modo,4386374,in,"manner, way"
le sue,4297729,the,plural of sua
che mi,4266331,what; which,clitic accusative of io. me
con una,4092558,"with, together",feminine singular of uno
con i,4061308,"with, together","The ninth letter of the Italian alphabet, called i and written in the Latin script."
è il,4049663,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",the
in questo,4021694,in,"this, these"
e poi,4020141,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",then
della sua,3930448,"contraction of di la; of the, from the",feminine singular of suo
come se,3761166,how,abbreviation of sudest; southeast
di essere,3743615,"used to indicate possession, after the thing owned and before the owner; of; ’s",Used as a copula. to be
e a,3718164,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","The first letter of the Italian alphabet, called a and written in the Latin script."
è la,3699606,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",the
che gli,3674976,what; which,"form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the"
da una,3633136,from (all senses),feminine singular of uno
che aveva,3626063,what; which,third-person singular imperfect indicative of avere
da parte,3610518,from (all senses),part
non mi,3579075,not,clitic accusative of io. me
prima di,3568268,feminine singular of primo,"used to indicate possession, after the thing owned and before the owner; of; ’s"
e per,3511471,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",for
può essere,3492396,third-person singular present indicative of potere,Used as a copula. to be
è una,3478135,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",feminine singular of uno
una volta,3470593,feminine singular of uno,"time, instance, occasion"
a una,3448909,"The first letter of the Italian alphabet, called a and written in the Latin script.",feminine singular of uno
di non,3421630,"used to indicate possession, after the thing owned and before the owner; of; ’s",not
e gli,3377675,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the"
come un,3349428,how,"apocopic form of uno: a, an"
che ha,3343230,what; which,third-person singular present indicative of avere and (obsolete) havere
tra le,3330404,between,the
del suo,3328463,"contraction of di + il; some, of the, from the","his, her, its"
la testa,3327957,the,head
un altro,3323607,"apocopic form of uno: a, an","other, another, more, further, else"
non sono,3313844,not,"first-person singular present indicative of essere: (I) am, I'm"
fino a,3302755,"till, until, as far as","The first letter of the Italian alphabet, called a and written in the Latin script."
che lo,3256607,what; which,"the form of il that is used before the so-called impure consonants, that is, s+consonant (impure s), gn, pn, ps, x, y, or z, and before i+vocal, bd, cn, ct, dm, ft, mn, pt, tm and also ts; before a vowel it becomes l'; the"
e in,3253846,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",in
che era,3230398,what; which,"age, epoch, period"
di nuovo,3206914,"used to indicate possession, after the thing owned and before the owner; of; ’s",new
la prima,3145492,the,feminine singular of primo
che i,3072518,what; which,"The ninth letter of the Italian alphabet, called i and written in the Latin script."
o di,3003402,"The thirteenth letter of the Italian alphabet, called o and written in the Latin script.","used to indicate possession, after the thing owned and before the owner; of; ’s"
e lo,2974704,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","the form of il that is used before the so-called impure consonants, that is, s+consonant (impure s), gn, pn, ps, x, y, or z, and before i+vocal, bd, cn, ct, dm, ft, mn, pt, tm and also ts; before a vowel it becomes l'; the"
è stata,2958174,"Used to disambiguate words ending in a stressed ⟨-e⟩, regardless of its pronunciation",feminine singular of stato
non lo,2952383,not,"the form of il that is used before the so-called impure consonants, that is, s+consonant (impure s), gn, pn, ps, x, y, or z, and before i+vocal, bd, cn, ct, dm, ft, mn, pt, tm and also ts; before a vowel it becomes l'; the"
a casa,2946815,"The first letter of the Italian alphabet, called a and written in the Latin script.",house
caso di,2943284,"chance, fate","used to indicate possession, after the thing owned and before the owner; of; ’s"
e della,2905678,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","contraction of di la; of the, from the"
tutto il,2889797,all,the
non ci,2883791,not,The name of the Latin script letter C/c.; cee
non aveva,2852288,not,third-person singular imperfect indicative of avere
e mi,2847106,"The fifth letter of the Italian alphabet, called e and written in the Latin script.",clitic accusative of io. me
e con,2816705,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","with, together"
che ci,2796656,what; which,The name of the Latin script letter C/c.; cee
che cosa,2767209,what; which,"thing, matter"
gli altri,2757537,"form of the article i (“the”) used before a vowel, impure s, gn, pn, ps, sc, x, y, and z, and also with the plural noun dei (“gods”); the","someone else, another"
tra i,2756170,between,"The ninth letter of the Italian alphabet, called i and written in the Latin script."
di lavoro,2726575,"used to indicate possession, after the thing owned and before the owner; of; ’s",work (all senses)
e del,2714805,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","contraction of di + il; some, of the, from the"
in quel,2683036,in,"apocopic form of quello, used before a consonant (except impure s, gn, pn, ps, x, z)"
di più,2677792,"used to indicate possession, after the thing owned and before the owner; of; ’s",comparative degree of molto; more
le mani,2656704,the,plural of mano
in quanto,2655575,in,"how much, how many, however much, however many"
e un,2654821,"The fifth letter of the Italian alphabet, called e and written in the Latin script.","apocopic form of uno: a, an"
la vita,2644477,the,life
se ne,2614740,abbreviation of sudest; southeast,abbreviation of nordest; northeast
tutta la,2604347,feminine singular of tutto,the
fatto che,2594565,"done, made",what; which
si può,2592261,"oneself, himself, herself, itself, themselves",third-person singular present indicative of potere
un uomo,2589377,"apocopic form of uno: a, an","person, man (human being)"
non ha,2565725,not,third-person singular present indicative of avere and (obsolete) havere
più di,2540791,comparative degree of molto; more,"used to indicate possession, after the thing owned and before the owner; of; ’s"
grado di,2532961,degree,"used to indicate possession, after the thing owned and before the owner; of; ’s"
non può,2524476,not,third-person singular present indicative of potere
mi ha,2499987,clitic accusative of io. me,third-person singular present indicative of avere and (obsolete) havere
di questo,2494612,"used to indicate possession, after the thing owned and before the owner; of; ’s","this, these"
era un,2489687,"age, epoch, period","apocopic form of uno: a, an"
alla fine,2486275,"contraction of a + la; to the, at the",thin
la mano,2485728,the,hand
che in,2484113,what; which,in
bisogno di,2482252,need,"used to indicate possession, after the thing owned and before the owner; of; ’s"
l' uomo,2479661,"apocopic form of il/lo, la: the","person, man (human being)"
era stato,2476518,"age, epoch, period","state (physical property of matter as solid, liquid, gas or plasma)"
lo stesso,2469671,"the form of il that is used before the so-called impure consonants, that is, s+consonant (impure s), gn, pn, ps, x, y, or z, and before i+vocal, bd, cn, ct, dm, ft, mn, pt, tm and also ts; before a vowel it becomes l'; the","same, equal"
nel caso,2451457,contraction of in il; in the,"chance, fate"
uno dei,2447906,one,"contraction of di + i; of the, from the"
di lui,2440305,"used to indicate possession, after the thing owned and before the owner; of; ’s",he
la loro,2436032,the,"they, them"
