text,popularity,meaning1,meaning2
な い,549,,
っ て,456,,
っ た,410,,
ど う,286,,
そ う,278,,
し て,273,,
ん だ,258,,
て る,238,,
か っ,220,,
い い,218,,
で す,194,,
し た,171,,
そ れ,163,,
て く,142,,
く れ,136,,
か ら,125,,
こ れ,122,,
分 か,118,part,
ん な,113,,
な ん,113,,
ど こ,113,,
す る,112,,
ら な,111,,
こ こ,108,,
た の,106,,
わ か,105,,
る の,102,,
い わ,102,,
リ ー,98,,
う だ,96,,
れ は,95,,
や っ,95,,
さ い,95,,
こ に,94,,
も う,93,,
し い,93,,
ま す,92,,
じ ゃ,92,,
い る,86,,
何 を,85,what,
ま し,85,,
行 く,84,go,
い で,84,,
あ り,84,,
あ あ,83,,
だ よ,80,,
っ と,79,,
う し,77,,
し ょ,76,,
こ と,76,,
大 丈,73,large,length
丈 夫,73,length,husband
な た,73,,
い て,73,,
す か,72,,
あ な,72,,
言 っ,71,say,
て い,70,,
る ん,69,,
ゃ な,69,,
う か,69,,
何 か,68,what,
な の,68,,
え て,67,,
い た,67,,
り ま,66,,
た い,66,,
い よ,66,,
ッ ク,65,,
っ ち,64,,
し ろ,64,,
は い,63,,
の か,63,,
だ ろ,63,,
ん で,62,,
何 が,61,what,
よ う,61,,
か な,60,,
い や,60,,
い か,60,,
で も,59,,
い の,59,,
い な,59,,
ま せ,58,,
た か,57,,
そ の,56,,
し ま,56,,
い ま,56,,
で し,55,,
せ ん,55,,
違 う,54,differ,
は ど,54,,
う な,54,,
れ で,53,,
か る,53,,
お 前,53,,"""in"
る わ,52,,
さ ん,52,,
何 だ,51,what,
ー ス,51,,
ょ う,51,,
だ っ,51,,
あ る,51,,
う い,50,,
タ ー,49,,
な さ,49,,
と う,49,,
待 っ,48,wait,
り が,48,,
つ け,48,,
お い,48,,
あ っ,48,,
で き,47,,
て な,47,,
こ っ,47,,
が と,47,,
か し,47,,
ォ ー,46,,
ち ょ,46,,
た わ,46,,
い う,46,,
行 け,45,go,
け て,45,,
る か,44,,
そ ん,44,,
え え,44,,
う で,44,,
う す,44,,
や め,43,,
は 何,43,,what
な ぜ,43,,
こ で,43,,
ャ ー,42,,
ッ ト,42,,
る よ,42,,
り だ,42,,
く な,42,,
見 て,41,see,
知 っ,41,know,
何 の,41,what,
ろ う,41,,
が あ,41,,
本 当,40,book,hit
ジ ェ,40,,
る な,40,,
ょ っ,40,,
い だ,40,,
ー ル,39,,
