text,popularity,meaning1,meaning2
中 的,167117,(bound form) China; Chinese,of; ~'s (possessive particle)
自己 的,155392,oneself; (attributive) one's own,of; ~'s (possessive particle)
的 人,149738,of; ~'s (possessive particle),person; people
这 一,133307,(pronoun) this; these,one
人 的,123089,person; people,of; ~'s (possessive particle)
的 是,115856,of; ~'s (possessive particle),to be (followed by substantives only)
发展 的,107360,development,of; ~'s (possessive particle)
这 是,105459,(pronoun) this; these,to be (followed by substantives only)
的 发展,104799,of; ~'s (possessive particle),development
他 的,103602,"(third-person singular) (since the early 20th century, usu. male) he; him; his",of; ~'s (possessive particle)
各 种,102706,each,seed
上 的,101590,used in 上聲|上声[shang3 sheng1],of; ~'s (possessive particle)
亿 元,89392,100 million,surname Yuan
新 的,87927,abbr. for Xinjiang 新疆[Xin1 jiang1],of; ~'s (possessive particle)
的 问题,86794,of; ~'s (possessive particle),question
企业 的,79125,company; firm; enterprise; corporation,of; ~'s (possessive particle)
过程 中,78800,course of events; process,(bound form) China; Chinese
的 影响,75541,of; ~'s (possessive particle),influence
的 工作,73594,of; ~'s (possessive particle),to work
二 是,71707,two,to be (followed by substantives only)
的 重要,70528,of; ~'s (possessive particle),important; significant; major
的 社会,69245,of; ~'s (possessive particle),society
两 个,69168,two,used in 自個兒|自个儿[zi4 ge3 r5]
是 指,69086,to be (followed by substantives only),finger
重要 的,68757,important; significant; major,of; ~'s (possessive particle)
是 一个,67775,to be (followed by substantives only),a; an; one
不同 的,66769,different,of; ~'s (possessive particle)
经济 增长,66323,economy,to grow; to increase
工作 的,64449,to work,of; ~'s (possessive particle)
性 的,63853,nature,of; ~'s (possessive particle)
是 在,63800,to be (followed by substantives only),to exist; to be alive
的 时候,62785,of; ~'s (possessive particle),time
这样 的,62646,this way; like this; so,of; ~'s (possessive particle)
十 四条,62644,ten,four of a kind
市场 经济,62298,marketplace; market; bazaar,economy
的 基础,61073,of; ~'s (possessive particle),base; foundation; basis
及 其,60782,and,his
我 的,60426,I; me; my,of; ~'s (possessive particle)
方面 的,60091,respect,of; ~'s (possessive particle)
你 的,59578,"you (informal, as opposed to courteous 您[nin2])",of; ~'s (possessive particle)
万 元,59545,used in 万俟[Mo4 qi2],surname Yuan
了 一,59414,(completed action marker),one
的 经济,58985,of; ~'s (possessive particle),economy
他们 的,57886,they; them,of; ~'s (possessive particle)
我们 的,57335,we; us; ourselves; our,of; ~'s (possessive particle)
的 情况,57258,of; ~'s (possessive particle),circumstances; state of affairs; situation
中国 的,56762,China,of; ~'s (possessive particle)
这 种,55645,(pronoun) this; these,seed
年 的,55280,surname Nian,of; ~'s (possessive particle)
之间 的,55027,(after a noun) between; among; amid,of; ~'s (possessive particle)
的 关系,55008,of; ~'s (possessive particle),relation; relationship; connection
亿 美元,54826,100 million,American dollar; US dollar
一 种,54760,one,seed
一 是,54547,one,to be (followed by substantives only)
十 五条,54412,ten,
之 一,53951,"(possessive particle, literary equivalent of 的[de5])",one
社会 保障,53644,society,to ensure
来 说,52284,to come,to persuade
的 研究,51906,of; ~'s (possessive particle),research
的 一个,51113,of; ~'s (possessive particle),a; an; one
社会 的,50615,society,of; ~'s (possessive particle)
情况 下,50545,circumstances; state of affairs; situation,down
的 主要,49663,of; ~'s (possessive particle),main; principal; major; primary
另 一,48828,other,one
的 基本,48403,of; ~'s (possessive particle),basic
问题 的,48374,question,of; ~'s (possessive particle)
三 是,48071,surname San,to be (followed by substantives only)
十 三条,47915,ten,three of a kind (poker)
金融 机构,47586,banking,mechanism
并 不,47574,and,no; not so
信息 化,47542,information; news; message,variant of 花[hua1]
国家 的,47419,country; nation; state,of; ~'s (possessive particle)
经济 社会,47166,economy,society
经济 发展,47018,economy,development
的 作用,47018,of; ~'s (possessive particle),to act on; to affect
中小 企业,46789,,company; firm; enterprise; corporation
各 级,46048,each,level
基础 上,45715,base; foundation; basis,used in 上聲|上声[shang3 sheng1]
特别 是,45229,unusual; special,to be (followed by substantives only)
农民 工,45123,peasant; farmer,work
而 言,45098,and,words
对话 框,44980,to talk (with sb),frame (e.g. door frame)
的 过程,44576,of; ~'s (possessive particle),course of events; process
来 越,44388,to come,generic word for peoples or states of south China or south Asia at different historical periods
三 个,43285,surname San,used in 自個兒|自个儿[zi4 ge3 r5]
和 社会,43264,old variant of 和[he2],society
化 的,42837,variant of 花[hua1],of; ~'s (possessive particle)
党 的,42629,surname Dang,of; ~'s (possessive particle)
来 看,42286,to come,to look after
加 大,42151,Canada (abbr. for 加拿大[Jia1 na2 da4]),big; large; great
公司 的,41640,company; firm; corporation,of; ~'s (possessive particle)
的 一,41611,of; ~'s (possessive particle),one
知识 产权,41520,knowledge,property right
的 方式,41322,of; ~'s (possessive particle),way; method; manner; mode; pattern (of behavior etc)
越 来,40642,generic word for peoples or states of south China or south Asia at different historical periods,to come
之 间,40638,"(possessive particle, literary equivalent of 的[de5])",between
中 医药,40555,(bound form) China; Chinese,medical care and medicines
第 一,40510,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")",one
的 新,40438,of; ~'s (possessive particle),abbr. for Xinjiang 新疆[Xin1 jiang1]
十 六条,40209,ten,
经济 学,40033,economy,to learn
到 了,39962,to reach; to arrive,(completed action marker)
的 时间,39704,of; ~'s (possessive particle),(concept of) time
图书 馆,39507,books (in a library or bookstore),variant of 館|馆[guan3]
的 历史,39436,of; ~'s (possessive particle),history
它 的,39321,it,of; ~'s (possessive particle)
各 项,39197,each,surname Xiang
看 到,38946,to look after,to reach; to arrive
进行 了,38910,(of a process etc) to proceed; to be in progress; to be underway,(completed action marker)
年 来,38835,surname Nian,to come
的 政治,38738,of; ~'s (possessive particle),politics
经济 的,37907,economy,of; ~'s (possessive particle)
六 届,37867,six,to arrive at (place or time)
间 的,37322,between,of; ~'s (possessive particle)
也 有,37020,surname Ye,to have; there is
者 的,36968,(after a verb or adjective) one who (is) ...,of; ~'s (possessive particle)
一定 的,36928,surely; certainly; definitely,of; ~'s (possessive particle)
的 要求,36835,of; ~'s (possessive particle),to request
万 人,36593,used in 万俟[Mo4 qi2],person; people
则 是,36444,(literary) (conjunction used to express contrast with a previous clause) but; then,to be (followed by substantives only)
可 持续,36390,(prefix) can; may; able to; -able,to continue; to last; to persist
巿 场,36385,(literary) variant of 韍|韨[fu2],threshing floor
是 一种,36382,to be (followed by substantives only),one kind of; one type of
的 企业,36141,of; ~'s (possessive particle),company; firm; enterprise; corporation
的 话,36101,of; ~'s (possessive particle),dialect
的 方法,35817,of; ~'s (possessive particle),method; way; technique; procedure
一个 人,35677,a; an; one,person; people
国有 企业,35614,nationalized,company; firm; enterprise; corporation
做 好,35325,to make; to produce,good
大 的,35325,big; large; great,of; ~'s (possessive particle)
产业 的,35118,industry,of; ~'s (possessive particle)
管理 的,34788,to supervise,of; ~'s (possessive particle)
个 方面,34737,used in 自個兒|自个儿[zi4 ge3 r5],respect
的 国家,34517,of; ~'s (possessive particle),country; nation; state
文化 的,34481,culture,of; ~'s (possessive particle)
社会 主义,34296,society,-ism
市场 的,34268,marketplace; market; bazaar,of; ~'s (possessive particle)
的 生活,34008,of; ~'s (possessive particle),to live
了 一个,33988,(completed action marker),a; an; one
就 会,33968,(after a suppositional clause) in that case; then,can; to have the skill; to know how to
产品 的,33797,goods,of; ~'s (possessive particle)
第 二,33729,"(prefix indicating ordinal number, as in 第六[di4 liu4] ""sixth"")",two
的 行为,33574,of; ~'s (possessive particle),action; conduct; behavior; activity
一 系列,33495,one,series
的 生产,33398,of; ~'s (possessive particle),to produce; to manufacture
的 目标,33213,of; ~'s (possessive particle),target
二 十,33007,two,ten
